week	text
2	
2	Because it prevents us from improving education
2	They think that this is not the solution to the actual problem
2	data is needed to know how to fix stuff
2	
2	It would bias the data to not represent all types of students.
2	Can't hold anyone/thing accountable for success or failure
2	Because designing instruction for students cannot be done on an average
2	Because those are not necessarily used for marketing reasons
2	Opt-out is frequently used a political tactic and impedes a clear picture of the effectiveness of schools.
2	It may cause policy makers to form biased policies based on incomplete data.
2	Opt out policies are not a good idea because they prevent the improvement of education in a quantifiable way.
2	Would make the date uncompleted so that we could only get partcial fact  
2	Because problems need to be solved rather than avoided
2	Data is needed to determine how well/not well schools are providing student education
2	Opt out policies are tied to other non-data policies and people tend to opt out from show opposition to the non data policies. 
2	It forces an explaination of the rational for research
2	Opt-out rights should be an opportunity for parents to decline uses of data that truly are secondary to the functioning of our educational system ‰ÛÒ not an opportunity to avoid resolution of education policy issues that affect all students.
2	Data helps schools better help their student population.
2	
2	Leong & Polontesky suggest Opt Out policies are a bad idea because they prevent collection of data that could give an accurate view of the education being provided to all students.
2	"When there're problems and concerns, we fix things rather than opt out especially when what people are opting out is essentially helpful to (majority of) people."
2	Because opt-out won't help improve policies
2	"The people who are school or teacher will lose the whole sense of the student, because they may lose some important informations like background, grades, which is very important to fully understand a student. "
2	Data is useful not only for schools but also other parties like parents.
2	"According to them opt out policies can prevent schools from getting accurate and true educational data indirectly affecting the decisions related to providing better education for ""all"" and not some."
2	
2	"I think so...not sure what it would entail logistically, but I could see it becoming part of someone's online banking or something."
2	"Yes, I think they can own it but won't know what to do with it - and that's fine.... for now, till the industry catches up."
2	"no, students won't really know what to do with the data collected"
2	
2	"Probably not, but it would be nice."
2	"Yes, if people will pay for it."
2	yes
2	"Not quite, though I agreed that aggregate data do not lead to solutions. "
2	"I think so. It might require some cultural changes, but we already see people tracking their own 'steps per day' or 'drinks in a week'."
2	Perhaps. But managing one's own data is going to be a lot of work and eventually most people are just gonna give up.
2	"It depends, if they are taught how to interpret the data then yes, however if interpreting that information isn't a part of their education, then it could be going to waste."
2	not really
2	"to some extend it is, under the condition that students are informed and educated on how they can use the data and the consequences comes after. Maybe they cannot make the best use of the data, therefore I think students needs to understand fully and be prepared."
2	"Yes, at least parts of it, but how much data does one person really need? We can assess our own thoughts, feelings, desires, etc. ourselves.  We do not need data to 'show' us these things."
2	"Yes and no.  The idea of collecting it is fine, but I think that expecting most  people to be that self reflective is unrealistic. "
2	I believe it is even though there must be a paradigm shift.  Perhaps in NGO-world it would succeed.
2	"Maybe, but honestly I can't recall. "
2	"Not really?  It assumes families have the money for profile companies or computers to access/store/manage their data.  Unless the government pays for some 3rd party to safeguard data from the government, it'd be hard to pull off."
2	
2	Not at the moment.
2	I think so or I hope so.
2	"Yes, it's becoming a trend"
2	"I think some of students who are self-driven can do that. If the student have the ability and if the student have the motivation will be a problem. If they have both, it will be realistic."
